,initial_radius,frequency,acoustic_pressure,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure
0,1e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
1,1.191919191919192e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
2,1.3838383838383839e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
3,1.5757575757575759e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
4,1.7676767676767676e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
5,1.9595959595959598e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
6,2.1515151515151515e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
7,2.3434343434343433e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
8,2.5353535353535355e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
9,2.7272727272727276e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
10,2.919191919191919e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
11,3.111111111111111e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
12,3.3030303030303033e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
13,3.4949494949494955e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
14,3.686868686868687e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
