,initial_radius,acoustic_pressure,frequency,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure,RP_dynamical_threshold,RP_mach_number,RP_near_zero,RP_max_velocity,RP_critical_transition,KM_dynamical_threshold,KM_mach_number,KM_near_zero,KM_max_velocity,KM_critical_transition,G_dynamical_threshold,G_mach_number,G_near_zero,G_max_velocity,G_critical_transition,critical_maximum,RP_expansion_radius,KM_expansion_radius,G_expansion_radius,RP_acoustic_emissions,KM_acoustic_emissions,G_acoustic_emissions,count
0,1e-06,200000.0,20000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",693.1658545594552,"(nan, None)",1,0,"(True, True)",157.13581377910018,"(nan, None)",1,0,"(False, False)",17.182125160661457,"(958609155.6432856, None)",1.878772262778545,1,1,0,1,1,0,7
1,1e-06,200000.0,240000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",695.6507612092432,"(nan, 6.467912040571001)",0,1,"(False, False)",-2.1659071528214144,"(-1, 6.77975376357488)",0,1,"(False, False)",-2.670345418170554,"(-1, 6.306053151761423)",1.878772262778545,1,0,0,1,0,0,5
2,1e-06,200000.0,460000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-1.301537917043517,"(-1, 3.2118327288519537)",0,1,"(False, False)",-1.4149030135328893,"(-1, 3.63199258658831)",1,1,"(False, False)",-3.741369352766644,"(1.4177877041968658, 3.4160328095716403)",1.878772262778545,0,0,0,0,0,0,4
3,1e-06,200000.0,680000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-1.9177188919415569,"(-1, 2.741732957772208)",0,1,"(False, False)",-2.065320074227288,"(-1, 2.8960450502589734)",0,1,"(False, False)",-4.144372712891975,"(1.3351611059305548, 2.7723544514530074)",1.878772262778545,0,0,0,0,0,0,3
4,1e-06,200000.0,900000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-2.21234339005357,"(-1, 2.5084065874612183)",0,1,"(False, False)",-2.4769358706057103,"(-1, 2.5160857572009037)",1,1,"(False, False)",-4.415142376332248,"(1.272516928706123, 2.5013727739739013)",1.878772262778545,0,0,0,0,0,0,4
5,1e-06,200000.0,1120000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-2.026724940287567,"(-1, 2.516212211850524)",0,1,"(False, False)",-2.388348710626932,"(-1, 2.4798073553005775)",0,1,"(False, False)",-4.320779244950412,"(1.2701298035110107, 2.443371427073183)",1.878772262778545,0,0,0,0,0,0,3
6,1e-06,200000.0,1340000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-2.6415057243221667,"(-1, 2.16731879046444)",0,1,"(False, False)",-2.7834139352110454,"(-1, 2.097020988199271)",0,1,"(False, False)",-4.714194152094388,"(1.2113073079700492, 2.152964697099005)",1.878772262778545,0,0,0,0,0,0,3
7,1e-06,200000.0,1560000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,1,"(False, False)",-3.1321525060322783,"(1.1887556981852498, 1.9162322521087358)",0,1,"(False, False)",-2.2217013029983117,"(-1, 2.063659195580153)",1,1,"(False, False)",-5.03851831174682,"(1.1674895150230824, 1.9542447014124664)",1.878772262778545,0,0,0,0,0,0,5
8,1e-06,200000.0,1780000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,0,1,"(False, False)",-1.9452803926999291,"(-1, 2.33319512729026)",0,1,"(False, False)",-2.5665971292536804,"(-1, 2.2076417782249496)",1,1,"(False, False)",-4.398671561313346,"(1.167358638350421, 2.2496740666766812)",1.878772262778545,0,0,0,0,0,0,4
9,1e-06,200000.0,2000000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,1,"(False, False)",-2.4500133621997824,"(1.3282093565236324, 2.133120630475101)",0,1,"(False, False)",-2.846212816427822,"(-1, 2.0445729880743375)",1,1,"(False, False)",-4.6632394573671645,"(1.1213886254517678, 2.0729758958366733)",1.878772262778545,0,0,0,0,0,0,5
10,1e-06,511111.1111111111,20000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",693.1658545594552,"(nan, None)",1,0,"(True, True)",157.13581377910018,"(nan, None)",1,0,"(False, False)",647.4889276271753,"(nan, None)",1.878772262778545,1,1,1,1,1,1,9
11,1e-06,511111.1111111111,240000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",695.6507612092432,"(nan, None)",0,0,"(False, False)",1.4935460572870076,"(-1, 29.28244605978965)",0,1,"(False, False)",-1.9847485325507437,"(-1, 28.91203313098755)",1.878772262778545,1,0,0,1,0,0,4
12,1e-06,511111.1111111111,460000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",696.3013487753843,"(nan, None)",0,0,"(False, False)",0.5565592687972165,"(-1, 15.730292883478462)",0,1,"(False, False)",-1.2143547080858528,"(-1, 15.57734048634049)",1.878772262778545,1,0,0,1,0,0,4
13,1e-06,511111.1111111111,680000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",696.6922150840713,"(nan, None)",0,1,"(False, False)",-0.1869811583076954,"(-1, 10.478301613144172)",0,1,"(False, False)",-1.6573931175590595,"(-1, 11.654626916110251)",1.878772262778545,1,0,0,1,0,0,5
14,1e-06,511111.1111111111,900000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",696.9725170492255,"(nan, None)",0,0,"(False, False)",0.2210395329979526,"(-1, 9.252940214244669)",0,1,"(False, False)",-1.7351993985300744,"(-1, 8.250340836633399)",1.878772262778545,1,0,0,1,0,0,4
15,1e-06,511111.1111111111,1120000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",697.1912062501904,"(nan, None)",0,1,"(False, False)",-0.5160401642484103,"(-1, 7.202475279601934)",0,1,"(False, False)",-1.5671372635341545,"(-1, 7.857795584522533)",1.878772262778545,1,0,0,1,0,0,5
16,1e-06,511111.1111111111,1340000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",697.3705471788461,"(nan, None)",0,0,"(False, False)",0.179194048182078,"(-1, 6.729365265543496)",0,1,"(False, False)",-2.040479554898748,"(-1, 6.906085221377478)",1.878772262778545,1,0,0,1,0,0,4
17,1e-06,511111.1111111111,1560000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",697.5225633861447,"(nan, None)",0,1,"(False, False)",-0.1911824942650813,"(-1, 5.838186190506192)",0,1,"(False, False)",-1.9498514806337128,"(-1, 6.018495908831433)",1.878772262778545,1,0,0,1,0,0,5
18,1e-06,511111.1111111111,1780000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",697.6544909291873,"(nan, 8.111633593000143)",0,1,"(False, False)",-0.3473184091772781,"(-1, 5.38468806284699)",0,1,"(False, False)",-2.0620648866962683,"(-1, 5.329074886236075)",1.878772262778545,1,0,0,1,0,0,5
19,1e-06,511111.1111111111,2000000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",697.7710247454432,"(nan, 3.741974945213024)",0,1,"(False, False)",-0.4685843639075773,"(-1, 5.094142428371481)",0,1,"(False, False)",-2.2921322637933605,"(-1, 5.155931295656446)",1.878772262778545,1,0,0,1,0,0,5
20,1e-06,822222.2222222222,20000.0,10.0,999.6515734780104,0.0013075049290111,0.0742210440778469,1447.279579653885,3271.8,1,0,"(False, False)",693.1658545594552,"(nan, None)",1,0,"(True, True)",157.13581377910018,"(nan, None)",1,1,"(False, False)",-1.8860047760589815,"(508.2164732910062, None)",1.878772262778545,1,1,0,1,1,1,9
